dataset,topology_type,timestep,metagate_selector,metagate_confidence,metagate_mlu,oracle_selector,oracle_mlu,bn_mlu,topk_mlu,sens_mlu,gnn_mlu,correct,t_bn_ms,t_topk_ms,t_sens_ms,t_gnn_ms,t_features_ms,t_mlp_ms,t_lp_ms,t_decision_ms,t_total_ms
abilene,known,476,topk,0.35264500975608826,0.056088082424504006,bottleneck,0.0559766016165388,0.0559766016165388,0.056088082424504,0.0559766016346155,0.0559766016237875,0,0.5451249999168795,0.019582999811973423,0.6862919999548467,2.094542000122601,0.9559589998389129,0.16779100042185746,29.131082999811042,4.469292000067071,34.86350000002858
abilene,known,477,topk,0.3526684045791626,0.05662153302216717,bottleneck,0.0557234239043527,0.0557234239043527,0.0566215330221671,0.0557234239206922,0.0557234239206922,0,0.5620419997285353,0.023167000108514912,0.6895839997014264,3.043540999897232,0.9136250000665314,0.18862500019167783,66.48087499979738,5.420583999693918,73.19104099951801
abilene,known,478,topk,0.3700464963912964,0.056629696414305174,bottleneck,0.0566296963242096,0.0566296963242096,0.0566296964143051,0.0566296964143051,0.0566296964143051,0,0.5802499999845168,0.02445900008751778,0.7322920000660815,2.359207999688806,1.0430419997646823,0.15374999929917976,24.204000000281667,4.893000998890784,30.472542000097746
abilene,known,479,topk,0.3664456605911255,0.05729975702729226,sensitivity,0.0564541135151376,0.0564541135714364,0.0572997570272922,0.0564541135151376,0.0564541135714364,0,0.5066670000815066,0.020375000531203113,0.6562920007127104,2.1705419994759723,0.8129170000756858,0.15295800039893948,30.008707999513717,4.319751001276018,35.535792000700894
abilene,known,480,topk,0.3324887156486511,0.058439476462776904,bottleneck,0.0584394763027204,0.0584394763027204,0.0584394764627769,0.0584394763027204,0.0584394763271131,0,0.5641670004479238,0.02579100055299932,0.7261249993462116,2.817292000145244,0.8680829996592365,0.15591699957440142,24.548999999751686,5.1573749997260165,31.414000000040687
abilene,known,481,sensitivity,0.3470171391963959,0.05823589433150972,topk,0.0582358942992081,0.0582358943872734,0.0582358942992081,0.0582358943315097,0.0582358943872734,0,0.5996669997330173,0.024291000045195688,0.6854580005892785,1.9644169997263816,0.8360000001630397,0.15737499961687718,24.760541999967245,4.26720799987379,30.24879199983843
abilene,known,482,sensitivity,0.3496994972229004,0.058522301249960086,sensitivity,0.05852230124996,0.0585223012949153,0.0586392152941228,0.05852230124996,0.058522301372275,1,0.5149999997229315,0.02074999974865932,0.6965829998080153,2.1818750001330045,0.9372080003231531,0.1489589994889684,25.72929199959617,4.500374999224732,31.504790999861143
abilene,known,483,sensitivity,0.3525361120700836,0.05929337568935743,bottleneck,0.0592933756582089,0.0592933756582089,0.0592933756893574,0.0592933756893574,0.0592933757456796,0,0.5169590003788471,0.01900000006571645,0.6571250005436013,2.08737499997369,0.8304579996547545,0.16412500008300412,27.642125000056694,4.275042000699614,33.21358300036081
abilene,known,484,topk,0.3721444010734558,0.06093054546700816,bottleneck,0.060930545436552,0.060930545436552,0.0609305454670081,0.0609305454793108,0.0609305454793108,0,0.5512910001925775,0.025457999981881585,0.7029160005913582,2.172832999349339,0.9329169997727149,0.2807079999911366,26.40900000005786,4.666122999879008,32.24124999997002
abilene,known,485,gnn,0.33620718121528625,0.060603349191002034,bottleneck,0.0606033491887676,0.0606033491887676,0.0606033492963951,0.0606033493348485,0.060603349191002,0,0.5409999994299142,0.021875000129512046,0.6623750005019247,2.2858750007799244,0.8316670000567683,0.14758399993297644,25.360083999657945,4.49037600083102,31.076457999915874
